1116.824: started location data observation of C6:8E:82:5A:0A:06
1125.313: 0xâ€¦D31C location data: position: x=1517 y=3782 z=1113 q=59; distances: 57B0 distance=Distance{length=1251, quality=100}, 47B2 distance=Distance{length=3175, quality=100}, D286 distance=Distance{length=3859, quality=100}, 151A distance=Distance{length=6062, quality=100}
1125.414: 0xâ€¦D31C location data: position: x=1541 y=3864 z=1047 q=61; distances: 57B0 distance=Distance{length=1251, quality=100}, 47B2 distance=Distance{length=3049, quality=100}, D286 distance=Distance{length=3962, quality=100}, 151A distance=Distance{length=6067, quality=100}
1125.513: 0xâ€¦D31C location data: position: x=1575 y=3983 z=1076 q=57; distances: 57B0 distance=Distance{length=1209, quality=100}, 47B2 distance=Distance{length=2941, quality=100}, D286 distance=Distance{length=4164, quality=100}, 151A distance=Distance{length=6071, quality=100}
1125.613: 0xâ€¦D31C location data: position: x=1603 y=4050 z=1160 q=61; distances: 57B0 distance=Distance{length=1190, quality=100}, 47B2 distance=Distance{length=2913, quality=100}, D286 distance=Distance{length=4075, quality=100}, 151A distance=Distance{length=6075, quality=100}
1125.712: 0xâ€¦D31C location data: position: x=1642 y=4114 z=1132 q=56; distances: 57B0 distance=Distance{length=1316, quality=100}, 47B2 distance=Distance{length=2871, quality=100}, D286 distance=Distance{length=4174, quality=100}, 151A distance=Distance{length=6188, quality=100}
1125.814: 0xâ€¦D31C location data: position: x=1668 y=4172 z=1136 q=56; distances: 57B0 distance=Distance{length=1283, quality=100}, 47B2 distance=Distance{length=2871, quality=100}, D286 distance=Distance{length=4197, quality=100}, 151A distance=Distance{length=6197, quality=100}
1125.913: 0xâ€¦D31C location data: position: x=1722 y=4201 z=1082 q=54; distances: 57B0 distance=Distance{length=1470, quality=100}, 47B2 distance=Distance{length=2768, quality=100}, D286 distance=Distance{length=4220, quality=100}, 151A distance=Distance{length=6118, quality=100}
1126.013: 0xâ€¦D31C location data: position: x=1837 y=4106 z=1105 q=61; distances: 57B0 distance=Distance{length=2060, quality=100}, 47B2 distance=Distance{length=2772, quality=100}, D286 distance=Distance{length=4211, quality=100}, 151A distance=Distance{length=6076, quality=100}
1126.112: 0xâ€¦D31C location data: position: x=1864 y=4163 z=1112 q=54; distances: 57B0 distance=Distance{length=1480, quality=100}, 47B2 distance=Distance{length=2675, quality=100}, D286 distance=Distance{length=4267, quality=100}, 151A distance=Distance{length=6038, quality=100}
1126.215: 0xâ€¦D31C location data: distances: 57B0 distance=Distance{length=1339, quality=100}, 47B2 distance=Distance{length=2604, quality=100}, D286 distance=Distance{length=4295, quality=100}, 151A distance=Distance{length=5917, quality=100}
1126.316: 0xâ€¦D31C location data: distances: D286 distance=Distance{length=4379, quality=100}, 57B0 distance=Distance{length=1685, quality=100}, 47B2 distance=Distance{length=2515, quality=100}, 151A distance=Distance{length=5935, quality=100}
1126.412: 0xâ€¦D31C location data: position: x=1975 y=4063 z=1064 q=62; distances: D286 distance=Distance{length=4253, quality=100}, 57B0 distance=Distance{length=2238, quality=100}, 47B2 distance=Distance{length=2703, quality=100}, 151A distance=Distance{length=5813, quality=100}
1126.512: 0xâ€¦D31C location data: position: x=2012 y=4070 z=1018 q=53; distances: 57B0 distance=Distance{length=1821, quality=100}, 47B2 distance=Distance{length=2646, quality=100}, D286 distance=Distance{length=4248, quality=100}, 151A distance=Distance{length=5626, quality=100}
1126.613: 0xâ€¦D31C location data: position: x=2081 y=4061 z=1084 q=56; distances: 57B0 distance=Distance{length=1915, quality=100}, 47B2 distance=Distance{length=2431, quality=100}, D286 distance=Distance{length=4243, quality=100}, 151A distance=Distance{length=5729, quality=100}
1126.714: 0xâ€¦D31C location data: position: x=2160 y=4030 z=1110 q=61; distances: 57B0 distance=Distance{length=2041, quality=100}, 47B2 distance=Distance{length=2346, quality=100}, D286 distance=Distance{length=4220, quality=100}, 151A distance=Distance{length=5602, quality=100}
1126.814: 0xâ€¦D31C location data: position: x=2217 y=4022 z=1024 q=53; distances: 57B0 distance=Distance{length=2018, quality=100}, 47B2 distance=Distance{length=2323, quality=100}, D286 distance=Distance{length=4215, quality=100}, 151A distance=Distance{length=5565, quality=100}
1126.914: 0xâ€¦D31C location data: position: x=2306 y=3986 z=961 q=59; distances: 57B0 distance=Distance{length=2205, quality=100}, 47B2 distance=Distance{length=2163, quality=100}, D286 distance=Distance{length=4211, quality=100}, 151A distance=Distance{length=5588, quality=100}
1127.014: 0xâ€¦D31C location data: distances: 57B0 distance=Distance{length=2074, quality=100}, 47B2 distance=Distance{length=2084, quality=100}, D286 distance=Distance{length=4117, quality=100}, 151A distance=Distance{length=5405, quality=100}
1127.114: 0xâ€¦D31C location data: position: x=2387 y=3959 z=1010 q=64; distances: D286 distance=Distance{length=4197, quality=100}, 57B0 distance=Distance{length=2187, quality=100}, 47B2 distance=Distance{length=2027, quality=100}, 151A distance=Distance{length=5382, quality=100}
1127.213: 0xâ€¦D31C location data: position: x=2459 y=3917 z=1028 q=66; distances: 57B0 distance=Distance{length=2252, quality=100}, 47B2 distance=Distance{length=2013, quality=100}, D286 distance=Distance{length=4159, quality=100}, 151A distance=Distance{length=5377, quality=100}
1127.314: 0xâ€¦D31C location data: position: x=2564 y=3831 z=957 q=64; distances: 57B0 distance=Distance{length=2567, quality=100}, 47B2 distance=Distance{length=1953, quality=100}, D286 distance=Distance{length=4150, quality=100}, 151A distance=Distance{length=5157, quality=100}
1127.414: 0xâ€¦D31C location data: position: x=2682 y=3732 z=1017 q=71; distances: 47B2 distance=Distance{length=1958, quality=100}, 57B0 distance=Distance{length=2871, quality=100}, 151A distance=Distance{length=5176, quality=100}, D286 distance=Distance{length=4295, quality=100}
1127.531: 0xâ€¦D31C location data: position: x=2745 y=3735 z=952 q=58; distances: 47B2 distance=Distance{length=1958, quality=100}, 57B0 distance=Distance{length=2675, quality=100}, 151A distance=Distance{length=5120, quality=100}, D286 distance=Distance{length=4412, quality=100}
1127.609: 0xâ€¦D31C location data: position: x=2879 y=3634 z=932 q=65; distances: 47B2 distance=Distance{length=1850, quality=100}, 57B0 distance=Distance{length=3180, quality=100}, 151A distance=Distance{length=5110, quality=100}, D286 distance=Distance{length=4422, quality=100}
1127.714: 0xâ€¦D31C location data: position: x=2885 y=3640 z=979 q=66; distances: 47B2 distance=Distance{length=1821, quality=100}, 57B0 distance=Distance{length=2496, quality=100}, 151A distance=Distance{length=5049, quality=100}, D286 distance=Distance{length=4183, quality=100}
1127.830: 0xâ€¦D31C location data: position: x=2948 y=3574 z=1029 q=71; distances: 47B2 distance=Distance{length=1690, quality=100}, 57B0 distance=Distance{length=2786, quality=100}, 151A distance=Distance{length=5017, quality=100}, D286 distance=Distance{length=4122, quality=100}
