Sample;Time (ms);ESP32_X;ESP32_Y;UWB_QF;ESP32_Ax;ESP32_Ay;ESP32_Az;ESP32_Gx;ESP32_Gy;ESP32_Gz;ESP32_Mx;ESP32_My;ESP32_Mz;Robotat_X_mm;Robotat_Y_mm;Robotat_Z_mm;Robotat_Roll;Robotat_Pitch;Robotat_Yaw
69;11359.5477;1455;559;81;0.01;-0.03;-1;-0.1;0.53;0.14;84.37;50.56;5.66;-524.8467326;-1927.453399;232.5847745;-1.290076338;-1.212240008;46.47285341
70;11464.2617;1447;551;71;0.01;-0.03;-0.99;-0.04;0.23;-0.22;84.37;50.56;5.66;-524.8540044;-1927.458882;232.5664163;-1.299101147;-1.228054925;46.4712375
71;11568.7415;1444;556;75;0.02;-0.03;-1;-0.04;0.29;-0.1;86.72;49.38;7.93;-524.8705149;-1927.471161;232.5667888;-1.279128869;-1.19718501;46.47961095
72;11672.3496;1461;542;77;0.02;-0.03;-1;-0.16;0.41;0.26;85.55;51.73;4.53;-524.8682499;-1927.460194;232.5642258;-1.294868193;-1.256249165;46.46489977
73;11776.8062;1466;543;73;0.02;-0.03;-1;-0.04;0.35;0.02;86.72;51.73;3.4;-524.8634219;-1927.472234;232.5515002;-1.276716794;-1.219401418;46.46906569
74;11880.9708;1467;563;76;0.01;-0.03;-1;-0.22;0.29;-0.1;85.55;52.91;5.66;-524.8543024;-1927.45924;232.5903773;-1.283670449;-1.183414889;46.47997959
75;11983.7845;1456;518;70;0.02;-0.03;-1;-0.16;0.17;-0.22;85.55;52.91;5.66;-524.8792171;-1927.466989;232.5870246;-1.289073303;-1.199126221;46.48865631
76;12087.7347;1449;552;72;0.01;-0.03;-1;-0.04;0.29;-0.22;86.72;54.09;4.53;-524.8474479;-1927.469492;232.5626761;-1.296752583;-1.212385324;46.47361927
77;12191.4013;1443;531;74;0.02;-0.03;-1;0.09;0.47;0.2;87.89;51.73;3.4;-524.8758197;-1927.476883;232.5734049;-1.273419531;-1.196014024;46.47309996
78;12295.3036;1444;542;78;0.01;-0.03;-1;-0.16;0.29;-0.04;85.55;50.56;5.66;-524.8450041;-1927.451968;232.5803488;-1.290310562;-1.175501964;46.47225105
79;12399.741;1458;560;75;0.02;-0.03;-1;-0.28;0.17;0.2;87.89;51.73;2.27;-524.8615146;-1927.449703;232.5875312;-1.282879894;-1.216475335;46.46854453
80;12503.8196;1466;593;75;0.01;-0.03;-1;-0.22;0.29;-0.1;87.89;51.73;2.27;-524.8759985;-1927.46532;232.579872;-1.279856069;-1.263723571;46.47313162
81;12608.1932;1477;588;76;0.02;-0.03;-1;-0.22;0.35;0.08;89.06;51.73;3.4;-524.8715281;-1927.473187;232.5888127;-1.294084126;-1.223674766;46.47351205
82;12712.4758;1465;568;71;0.02;-0.03;-1;-0.1;0.11;-0.04;86.72;49.38;7.93;-524.8550177;-1927.45471;232.5852364;-1.26905236;-1.216618638;46.47716392
83;12816.15;1450;556;70;0.01;-0.03;-1;-0.04;0.29;0.14;89.06;51.73;4.53;-524.8454809;-1927.449107;232.575953;-1.281044175;-1.212033242;46.4704746
84;12919.67;1452;571;71;0.01;-0.03;-0.99;0.02;0.11;-0.04;89.06;51.73;4.53;-524.8445868;-1927.446961;232.5961739;-1.286417427;-1.214523955;46.47047932
85;13023.3751;1451;535;69;0.01;-0.03;-0.99;-0.34;0.35;0.14;87.89;52.91;6.8;-524.8560905;-1927.474737;232.575193;-1.28330289;-1.231383235;46.46898014
86;13126.5686;1458;543;75;0.01;-0.03;-1;-0.22;0.23;-0.04;85.55;54.09;5.66;-524.8480439;-1927.464604;232.5954884;-1.278009354;-1.242122935;46.46146081
87;13230.3726;1457;547;69;0.01;-0.03;-1;-0.22;0.17;0.02;86.72;51.73;6.8;-524.8667598;-1927.471757;232.603848;-1.279144899;-1.195451055;46.47422369
88;14479.5572;1441;547;69;0.01;-0.03;-1;-0.28;0.29;0.08;85.55;54.09;4.53;-524.8600841;-1927.447677;232.5524241;-1.287348793;-1.240870025;46.46282454
